SampleID,Site,Day
Fen_D0_A,Fen,D0
Fen_D0_B,Fen,D0
Fen_D0_C,Fen,D0
Fen_D28_A,Fen,D28
Fen_D28_B,Fen,D28
Fen_D28_C,Fen,D28
Bog_D0_A,Bog,D0
Bog_D0_B,Bog,D0
Bog_D0_C,Bog,D0
Bog_D28_A,Bog,D28
Bog_D28_B,Bog,D28
Bog_D28_C,Bog,D28
