Compound_ID,Norm. Area: HILIC_Neg_1D0.raw (F125),Norm. Area: HILIC_Neg_2D0.raw (F126),Norm. Area: HILIC_Neg_3D0.raw (F127),Norm. Area: HILIC_Neg_13D0.raw (F134),Norm. Area: HILIC_Neg_14D0.raw (F135),Norm. Area: HILIC_Neg_15D0.raw (F136),Norm. Area: HILIC_Neg_25D14.raw (F143),Norm. Area: HILIC_Neg_26D14.raw (F144),Norm. Area: HILIC_Neg_27D14.raw (F145),Norm. Area: HILIC_Neg_37D14.raw (F152),Norm. Area: HILIC_Neg_38D14.raw (F153),Norm. Area: HILIC_Neg_39D14.raw (F154),Norm. Area: HILIC_Neg_49D21.raw (F161),Norm. Area: HILIC_Neg_50D21.raw (F162),Norm. Area: HILIC_Neg_51D21.raw (F163),Norm. Area: HILIC_Neg_61D35.raw (F170),Norm. Area: HILIC_Neg_62D28.raw (F171),Norm. Area: HILIC_Neg_63D28.raw (F172),Norm. Area: HILIC_Neg_85D28.raw (F188),Norm. Area: HILIC_Neg_86D28.raw (F189),Norm. Area: HILIC_Neg_87D28.raw (F190),Norm. Area: HILIC_Neg_97D42.raw (F197),Norm. Area: HILIC_Neg_98D42.raw (F198),Norm. Area: HILIC_Neg_99D42.raw (F199),Norm. Area: HILIC_Neg_121D7.raw (F215),Norm. Area: HILIC_Neg_122D7.raw (F216),Norm. Area: HILIC_Neg_123D7.raw (F217),Norm. Area: HILIC_Neg_133D7.raw (F224),Norm. Area: HILIC_Neg_134D7.raw (F225),Norm. Area: HILIC_Neg_135D7.raw (F226),Norm. Area: HILIC_Neg_Blank_MS1.raw (F233),Norm. Area: HILIC_Neg_Blank2.raw (F234),Norm. Area: HILIC_Neg_Blank2_MS1.raw (F235),Norm. Area: HILIC_Neg_Blank3.raw (F236),Norm. Area: HILIC_Neg_Blank4.raw (F237),Norm. Area: HILIC_Neg_Pooled_QC1_MS1.raw (F239),Norm. Area: HILIC_Neg_Pooled_QC2_MS1.raw (F240),Norm. Area: HILIC_Neg_Pooled_QC3_MS1.raw (F241),Norm. Area: HILIC_Neg_Pooled_QC4_MS1.raw (F242),Norm. Area: HILIC_Neg_Pooled_QC5_MS1.raw (F243),Norm. Area: HILIC_Neg_Pooled_QC6_MS1.raw (F244),Norm. Area: HILIC_Neg_Pooled_QC7_MS1.raw (F245),Norm. Area: HILIC_Neg_Pooled_QC8_MS1.raw (F246),Norm. Area: HILIC_Neg_Pooled_QC9_MS1.raw (F247),Norm. Area: HILIC_Neg_Pooled_QC10_MS1.raw (F248),Norm. Area: HILIC_Neg_Pooled_QC11_MS1.raw (F249)
1.311_429.15553_HILIC,663618.3254,607327.6629,522277.493,558426.6688,597187.4734,640797.8455,703536.0153,717424.8314,726877.979,511865.709,536114.3733,600601.1608,664504.3614,764575.921,687239.2884,674496.5272,642760.659,626185.4687,537152.3751,497651.5929,468777.9783,569473.4671,611128.3006,604136.3948,572794.3201,579142.6321,569715.3852,501063.5291,494837.7641,435362.2724,33798.49739,46012.85383,33957.47368,43746.33893,45550.0494,9548024.789,5607805.396,6127535.279,5658231.861,5551646.687,7230396.395,3304032.471,9240380.433,7731675.393,6431120.704,6251244.5
4.695_209.04559_HILIC,3933355.846,3987273.713,3521119.801,3477397.706,3920254.338,3778183.01,5566206.534,4310112.322,4238285.415,4808751.207,6249495.85,3818210.602,11811200.95,10499180.46,5077506.719,9066180.19,4553452.436,2788572.997,9996901.222,9860022.477,3398136.337,3930052.947,4143745.335,7093139.392,4698317.732,4828322.859,4673937.766,3904746.496,3875264.945,5729118.224,202286.369,277333.4707,321882.7535,436975.1215,442155.274,2698899.023,4030213.786,3872650.461,2502716.972,3441729.017,3316663.709,3000751.67,4333872.612,2581108.18,2532917.319,4308056.27
7.755_174.04074_HILIC,5089520.813,5015138.2,4695294.861,3584863.771,4038247.218,3960604.911,3824536.829,3799577.423,4112372.371,2996717.476,3243248.544,3805718.125,3309892.864,3690481.943,2831014.744,3700202.351,3579339.564,3292693.763,2662144.001,2419916.741,2498839.947,2586144.382,2548521.768,2568667.132,2674788.256,2644620.075,2637468.137,2077821.505,2133670.39,2118475.122,250497.3934,316891.7831,180097.4464,247038.6147,234625.2418,634092.9943,813708.1553,541582.1055,883804.347,1056965.774,489079.0911,957431.829,981818.8853,839093.3151,855937.8853,708540.5709
1.39_275.05623_HILIC,938719.5084,904364.1493,800558.7032,1062589.784,938743.814,1221176.884,1198538.421,1141063.6,1170141.792,3170173.487,4869497.747,3019367.339,1119965.784,1081008.713,1058781.031,1073885.984,1017223.864,1006462.413,2884213.111,1156187.885,2486326.112,3327647.023,1620614.043,1125344.848,861810.264,843514.2942,868005.7789,5277854.031,10243538.26,10991336.86,57862.78784,66044.42339,52631.33785,72356.90374,66269.10445,1781992.504,1862019.494,1884006.916,1792637.919,1255970.517,1853614.053,2115822.197,2395261.77,1724361.661,1811577.431,1535445.496
1.391_275.0562_HILIC,958018.9249,922957.2436,817017.6302,924460.2668,958043.7302,1221176.884,1223179.532,1164523.07,1194199.089,3170173.487,4869497.747,3019367.339,1142991.497,1103233.497,1080548.828,1095964.329,1038137.275,1027154.577,2884213.111,964581.7083,2486326.112,3327647.023,1313184.111,1148481.15,879528.4802,860856.3581,885851.3706,4980736.102,10243538.26,10991336.86,59052.40629,67402.25055,53713.40134,73844.51108,67631.55089,1781992.504,1862019.494,1884006.916,1792637.919,1255970.517,1853614.053,2115822.197,2395261.77,1724361.661,1811577.431,1535445.496
3.943_215.09253_HILIC,2203800.07,2980081.396,2248294.365,5705583.835,3830430.633,4336297.972,2450783.456,2702155.696,2731572.085,12990041.25,12220341.47,15911671.98,2621874.676,2828296.611,2980799.957,2878260.489,2887136.484,2670666.831,17062816.96,23095502.23,14169808.03,2739508.071,2675601.773,2704485.362,3225202.557,3077078.4,3168916.246,21746673.8,25138029.45,23161113.54,131820.226,165554.322,240356.4166,317133.1614,297642.1742,2463486.016,2160667.48,2108408.787,2195609.341,2496403.201,1618805.727,2639542.768,1224295.872,2509881.538,1912176.184,2898606.544
5.919_225.04049_HILIC,3504640.989,3508345.995,3005747.135,3344267.827,3792741.114,3567647.174,3857422.538,4090244.409,3805844.291,2789480.585,2902355.204,3410689.474,3735519.67,4141513.748,4069540.503,4058120.336,4139112.011,3776819.275,3281319.765,2992871.764,2982164.43,3272360.137,3193909.582,3324663.156,3556508.453,3612645.078,3617862.851,3058163.601,3058622.515,2925821.655,217843.7876,285495.975,246531.3609,336874.9872,334106.0788,4091961.509,3339429.652,2954102.653,2691590.438,2982840.05,2968744.16,2962954.772,3255084.083,3442837.594,3339128.982,3557107.385
7.461_255.0511_HILIC,2344281.623,2176082.44,1870175.814,2130985.761,2448615.289,2221282.602,2406897.819,2485946.796,2567968.73,1868774.945,1909325.056,9534408.787,2431215.858,2841684.187,2746707.962,2983147.096,2635453.958,2430399.851,2461172.352,2097194.078,1957661.932,2193920.583,2272009.676,2186276.087,2656768.954,2516026.043,2578691.227,2045435.124,2066230.239,2018363.566,130357.9647,171888.4574,172201.9279,220783.7155,222004.5071,3719983.746,4006562.392,4106327.145,4307559.923,4481498.233,4509072.615,3650327.53,4561724.518,4373961.487,4140058.039,3474219.357
10.703_275.05409_HILIC,103817232.5,156564215.5,199116407.2,20465251.98,13292070.3,17304424.04,2722526.491,2524103.765,2819234.709,22523705.7,25842904.87,6867781.726,2540556.329,1940418.808,2727113.382,2821712.978,2780067.382,2580031.157,4129332.074,6741679.328,10678704.13,10464113.89,27784039.66,32436873.56,2447820.041,2418315.49,2372752.402,16240046.85,12618207.73,11502595.33,138602.1187,202303.8969,161062.0328,211756.5142,216475.5068,4278086.542,5568934.926,6122671.091,6599664.811,5894831.872,5498885.85,6236455.413,5677243.08,5331372.591,5609934.007,5320815.621
10.7_275.05404_HILIC,103817232.5,156564215.5,199116407.2,20465251.98,13292070.3,17304424.04,2157650.455,2000396.931,2194392.063,22523705.7,25842904.87,6867781.726,2013435.879,1537816.267,2161285.647,2236257.502,2203252.63,2044720.379,4129332.074,6741679.328,10678704.13,10464113.89,27784039.66,32436873.56,1888793.636,1867140.584,1880448.296,16240046.85,12618207.73,11502595.33,109575.45,160329.4207,127644.5131,167820.7873,171560.6725,4278086.542,5568934.926,6122671.091,6599664.811,5894831.872,5498885.85,6236455.413,5677243.08,5331372.591,5609934.007,5320815.621
7.203_484.10991_HILIC,2516471.439,1926629.471,1697833.4,1869178.802,2006461.456,1972341.523,2036135.817,2236974.137,2736570.996,1711031.297,1852923.238,3415239.531,2299073.257,4070205.104,4670719.838,2365352.435,2230034.815,2316127.561,2054529.622,1891498.661,1996101.805,2004881.118,2247579.662,2184484.136,2429503.713,2366120.996,2475625.153,1897493.692,1942335.474,1943930.08,114387.2935,137550.9317,148607.6302,201098.1079,196284.4514,380007.2602,551717.358,439318.2611,330975.9966,407864.9548,550038.7412,412083.9525,496783.7101,396948.9211,355052.2797,376814.6211
2.467_242.99687_HILIC,1688437.522,1756698.227,1497195.607,1572058.309,1754311.542,1714134.027,1749841.083,3187741.877,1853711.207,3201984.785,1745978.15,2050635.477,1948710.753,7885355.543,8625189.72,11199117.5,13219361.3,13202348.76,4872488.179,5144107.438,4608465.64,6490699.076,6335227.245,4195879.631,5550950.614,10266311.59,6576795.281,4141301.533,1827170.444,1788587.226,88436.48018,123416.8662,142730.6105,185806.7835,182308.4848,1798940.987,1528300.895,1945551.002,1946304.102,1860465.755,883866.2034,1808497.114,1681204.926,1752368.326,1750096.928,1900492.202
1.367_168.99646_HILIC,1202475.827,2691920.346,5223158.51,657149.1608,799197.1839,773193.1883,4482495.665,3218594.084,3638033.667,664099.0162,707294.4868,1023293.798,5121485.077,5135881.295,5555051.194,5322278.168,7891202.498,12407709.97,941108.5875,923395.4575,845099.9168,1196548.302,982036.8796,1325099.503,9106580.134,10909992.96,11596944.69,996555.4981,913952.9045,1015088.6,37740.60393,51715.32575,56125.64214,79464.57127,79127.15991,3236561.643,2911337.399,2654453.381,3061525.638,3444984.098,2914098.833,3282991.431,3327390.639,3017135.747,2888588.465,2797304.536
