Compound_ID,Norm. Area: RP_Pos_1D0.raw (F1),Norm. Area: RP_Pos_2D0.raw (F2),Norm. Area: RP_Pos_3D0.raw (F3),Norm. Area: RP_Pos_13D0.raw (F10),Norm. Area: RP_Pos_14D0.raw (F11),Norm. Area: RP_Pos_15D0.raw (F12),Norm. Area: RP_Pos_25D14.raw (F19),Norm. Area: RP_Pos_26D14.raw (F20),Norm. Area: RP_Pos_27D14.raw (F21),Norm. Area: RP_Pos_37D14.raw (F28),Norm. Area: RP_Pos_38D14.raw (F29),Norm. Area: RP_Pos_39D14.raw (F30),Norm. Area: RP_Pos_49D21.raw (F37),Norm. Area: RP_Pos_50D21.raw (F38),Norm. Area: RP_Pos_51D21.raw (F39),Norm. Area: RP_Pos_61D35.raw (F46),Norm. Area: RP_Pos_62D28.raw (F47),Norm. Area: RP_Pos_63D28.raw (F48),Norm. Area: RP_Pos_85D28.raw (F64),Norm. Area: RP_Pos_86D28.raw (F65),Norm. Area: RP_Pos_87D28.raw (F66),Norm. Area: RP_Pos_97D42.raw (F73),Norm. Area: RP_Pos_98D42.raw (F74),Norm. Area: RP_Pos_99D42.raw (F75),Norm. Area: RP_Pos_121D7.raw (F91),Norm. Area: RP_Pos_122D7.raw (F92),Norm. Area: RP_Pos_123D7.raw (F93),Norm. Area: RP_Pos_133D7.raw (F100),Norm. Area: RP_Pos_134D7.raw (F101),Norm. Area: RP_Pos_135D7.raw (F102),Norm. Area: RP_Pos_Blank_MS1.raw (F109),Norm. Area: RP_Pos_Blank1_20230109161140.raw (F110),Norm. Area: RP_Pos_Blank2.raw (F111),Norm. Area: RP_Pos_Blank2_MS1.raw (F112),Norm. Area: RP_Pos_Pooled_QC1_MS1.raw (F114),Norm. Area: RP_Pos_Pooled_QC2_MS1.raw (F115),Norm. Area: RP_Pos_Pooled_QC3_MS1.raw (F116),Norm. Area: RP_Pos_Pooled_QC4_MS1.raw (F117),Norm. Area: RP_Pos_Pooled_QC5_MS1.raw (F118),Norm. Area: RP_Pos_Pooled_QC6_MS1.raw (F119),Norm. Area: RP_Pos_Pooled_QC7_MS1.raw (F120),Norm. Area: RP_Pos_Pooled_QC8_MS1.raw (F121),Norm. Area: RP_Pos_Pooled_QC9_MS1.raw (F122),Norm. Area: RP_Pos_Pooled_QC10_MS1.raw (F123),Norm. Area: RP_Pos_Pooled_QC11_MS1.raw (F124)
11.727_269.1382_RP,3153292.589,3423355.105,7950104.334,5885046.498,3157357.123,3047532.307,3725028.399,22260811.89,3556461.94,1365945.411,1224947.194,1873295.528,14386589.39,14059264.78,19345511.06,25634561.73,4005837.345,17467465.67,3129589.055,2247816.336,1983369.228,2250763.193,1750715.161,2108200.566,2414871.468,2326685.952,9990443.012,7493269.164,1205671.753,699624.8308,176113.8602,2894149.902,253185.7557,157690.7076,6310131.527,5455143.958,2086214.922,4062122.188,3987752.754,4196697.247,3310880.288,5257782.75,4798149.74,3980351.415,4694137.5
8.52_316.21153_RP,8939709.497,8167504.684,5123900.44,8092433.33,6040600.981,10569245.75,2888873.841,7278791.154,1655160.652,3969186.351,3287008.809,4170095.203,1971812.932,2078127.344,3902316.781,2027902.351,2106886.096,2328350.607,1012698.378,856843.5793,778230.9843,1391039.128,1373167.455,2175107.297,4985590.543,1712670.707,2777861.234,6165356.629,2777378.746,2000260.689,59840.91545,134177.6337,41441.85573,56680.07068,1335940.622,1820278.69,1574055.306,1261497.829,1368823.626,892934.9657,1288669.973,1548945.542,1480902.339,1562872.311,1536692.37
3.201_235.05988_RP,808545.1815,711482.1537,569633.052,637669.9205,775807.1127,764951.9416,1132847.026,1212255.333,1280603.69,415929.4233,398215.193,446082.9353,993669.1585,1041711.477,1117992.677,1214791.506,1262594.323,1231889.052,530457.8639,447862.8733,433230.3947,681077.6995,653274.3731,798919.4098,1112297.589,1067869.61,1179837.78,498188.241,471257.0113,404097.3731,43066.17335,65078.26109,65838.81178,37891.94363,1503566.999,1378127.488,1345495.3,1425700.863,1238042.551,1461680.234,1442589.548,1548153.353,1409758.207,1313259.699,1368555.511
11.836_245.08068_RP,2345236.685,1330051.199,1727365.753,2174554.087,2710899.047,2668897.592,16717068.71,3584845.926,8833294.138,1420532.276,1244550.189,1428759.125,28017851.82,30030238.71,17202011.88,3620699.759,3767184.063,3964162.894,2031141.155,1947896.708,1760234.228,2462429.835,1972655.235,2096561.099,2646226.46,2479076.47,2635226.522,1223732.97,1118748.086,966542.5487,126640.7973,371529.3054,175049.6684,73350.70336,4869846.278,2332241.693,4650340.182,4430517.943,4884192.889,3355706.347,4477009.635,3837843.701,3817610.978,3947194.16,4232866.969
3.189_387.10722_RP,699789.5633,616742.187,502577.6911,559660.1548,681950.9724,673447.4051,1011214.956,1097076.547,1146607.039,377544.6223,362013.3907,406143.7916,929507.7924,963925.4477,1065079.233,1132389.415,1201720.888,1155806.339,506914.0717,433461.4944,419914.8012,662810.7768,642517.7607,816163.1217,1124461.274,1081099.92,1196169.915,511750.825,488128.0196,419158.6288,37764.26921,55799.66428,56540.15873,38922.06292,1451627.217,1391031.812,1291753.438,1515349.27,1299950.554,482077.2956,1404847.976,1487826.397,1410073.737,1451840.743,1386127.755
1.354_192.08649_RP,50649915.86,70231412.35,67699036.03,37423213.47,24521967.32,34425271.44,327553816.5,469580491.6,430843080,47808237.73,16545806.16,47338181.08,406683448.2,447917216.6,545652159.2,294703044.4,261832827.1,344073246.1,16385019.87,40291625.78,31005931.28,54665347.9,80639136.6,73133366.85,274821316.4,216002829,168693960.8,27216068.28,33347295.11,11597086.6,27210.4426,39401.91924,38544.05532,30835.85012,21496299.43,20880323.8,22168343.45,22816445.26,22440519.21,22313732.35,19246677.41,23549497.69,20598624.2,22370220.67,20555103.24
13.881_417.15419_RP,10817778.76,11415614.87,8757895.312,2307550.576,2957759.772,2894506.074,3899541.401,3949298.56,4089799.28,1501078.378,1545229.394,1983473.668,4024749.542,4135721.334,4514966.148,4984064.866,5124736.622,4959763.274,2655153.198,2317298.931,2245038.772,17109762.52,74362260.93,22501461.51,6749196.749,6113297.713,6409457.437,1866682.623,5937944.943,58009011.8,137543.018,306143.0027,245386.7109,121605.0163,6401594.714,6825401.441,7025404.234,3550001.092,6808204.766,7608515.91,5861510.815,5475145.478,6460576.116,5679605.067,6838253.919
9.742_493.06035_RP,1301204.19,1057284.795,889168.1215,1071716.545,1336642.304,1344931.465,1765798.722,2030596.584,957707.7556,677491.4315,606981.8696,755753.9491,1804027.479,1762771.289,1967181.784,2224693.639,2344480.017,2154887.399,1128494.868,990972.1986,895272.0659,1449116.768,1240215.86,1467334.362,1994409.528,1905422.776,1904561.214,902385.7612,743936.1791,665663.7533,68711.2176,95774.06816,91091.18149,39214.49991,2195766.664,1732607.127,1781690.078,1955291.18,1589229.861,1955445.982,1941036.272,1783636.416,1396956.517,1763877.733,2382499.036
1.264_400.90031_RP,94768882.63,51232724.56,36170155.62,81359503.68,171574518.9,164504733.4,369600696,439354536.1,357704108.1,62084649.18,23228884.16,57718838.32,304106397.7,322135459.8,400195944.2,517570679.5,581333809.7,493913308.5,182038337.1,111349628,108599065.6,394701495.3,246580388.9,256128061.3,432769725.6,392900942.8,473904008.1,80370854.82,63826847.47,33330559.98,29241.92395,40554.85393,42516.1068,35693.92134,7954007.943,6085917.201,6755571.801,6026101.247,7490718.205,4989360.032,5564181.268,6152673.39,6514394.582,7471329.15,7225115.434
2.45_377.15529_RP,1522824.71,1350352.621,1089550.537,1195195.789,1432499.832,1394012.228,2051487.751,2220777.474,2361685.773,826566.5941,746825.8074,901746.1368,1964135.879,1993917.668,2135981.731,2392470.026,2560903.068,2384082.959,1082571.401,991435.3705,914177.2783,1573542.726,1351511.298,1694528.628,2417272.977,2342325.826,2473829.607,1134179.662,1070514.876,929807.4172,78531.77294,116622.2506,116282.5918,86086.81089,1076815.053,1249978.469,1257639.215,1308525.591,1135520.104,1278073.895,894056.1158,1273952.965,1180297.722,1306163.846,1125664.207
